"","X","contest","candidate_count","year","contested","choice","party","district"
"611",156,"NC STATE HOUSE DISTRICT 76",1,2004,"No","Fred F. Steen II","REP",76
"612",157,"NC STATE HOUSE DISTRICT 77",2,2004,"Yes","Mac Butner","REP",77
"613",158,"NC STATE HOUSE DISTRICT 77",2,2004,"Yes","Lorene T. Coates","DEM",77
"614",159,"NC STATE HOUSE DISTRICT 78",1,2004,"No","Harold J. Brubaker","REP",78
"615",160,"NC STATE HOUSE DISTRICT 79",1,2004,"No","Julia Craven Howard","REP",79
"616",161,"NC STATE HOUSE DISTRICT 8",2,2004,"Yes","Curt Hendrix","REP",8
"617",162,"NC STATE HOUSE DISTRICT 8",2,2004,"Yes","Edith D. Warren","DEM",8
"618",163,"NC STATE HOUSE DISTRICT 80",1,2004,"No","Jerry C. Dockham","REP",80
"619",164,"NC STATE HOUSE DISTRICT 81",1,2004,"No","L. Hugh Holliman","DEM",81
"620",165,"NC STATE HOUSE DISTRICT 82",2,2004,"Yes","Jeff Barnhart","REP",82
"621",166,"NC STATE HOUSE DISTRICT 82",2,2004,"Yes","Carl Miller","LIB",82
"622",167,"NC STATE HOUSE DISTRICT 83",2,2004,"Yes","Caroline Gellner","LIB",83
"623",168,"NC STATE HOUSE DISTRICT 83",2,2004,"Yes","Linda P. Johnson","REP",83
"624",169,"NC STATE HOUSE DISTRICT 84",2,2004,"Yes","C. Barry Williams","LIB",84
"625",170,"NC STATE HOUSE DISTRICT 84",2,2004,"Yes","Phillip Frye","REP",84
"626",171,"NC STATE HOUSE DISTRICT 85",2,2004,"Yes","Mitch Gillespie","REP",85
"627",172,"NC STATE HOUSE DISTRICT 85",2,2004,"Yes","Philip J. Tate","DEM",85
"628",173,"NC STATE HOUSE DISTRICT 86",1,2004,"No","Walt Church","DEM",86
"629",174,"NC STATE HOUSE DISTRICT 87",2,2004,"Yes","Woody Tucker","DEM",87
"630",175,"NC STATE HOUSE DISTRICT 87",2,2004,"Yes","Edgar V. Starnes","REP",87
"631",176,"NC STATE HOUSE DISTRICT 88",2,2004,"Yes","Mark W. Hollo","REP",88
"632",177,"NC STATE HOUSE DISTRICT 88",2,2004,"Yes","Joel Harbinson","DEM",88
"633",178,"NC STATE HOUSE DISTRICT 89",1,2004,"No","Mitchell Smith Setzer","REP",89
"634",179,"NC STATE HOUSE DISTRICT 9",1,2004,"No","Marian N. McLawhorn","DEM",9
"635",180,"NC STATE HOUSE DISTRICT 90",2,2004,"Yes","Jim Harrell","DEM",90
"636",181,"NC STATE HOUSE DISTRICT 90",2,2004,"Yes","Jack Conaway","REP",90
"637",182,"NC STATE HOUSE DISTRICT 91",2,2004,"Yes","Robert W. Mitchell","DEM",91
"638",183,"NC STATE HOUSE DISTRICT 91",2,2004,"Yes","Bryan R. Holloway","REP",91
"639",184,"NC STATE HOUSE DISTRICT 92",1,2004,"No","George M. Holmes","REP",92
"640",185,"NC STATE HOUSE DISTRICT 93",3,2004,"Yes","Gene Wilson","REP",93
"641",186,"NC STATE HOUSE DISTRICT 93",3,2004,"Yes","Brandon Derr","LIB",93
"642",187,"NC STATE HOUSE DISTRICT 93",3,2004,"Yes","Cullie Tarleton","DEM",93
"643",188,"NC STATE HOUSE DISTRICT 94",1,2004,"No","R. Tracy Walker","REP",94
"644",189,"NC STATE HOUSE DISTRICT 95",1,2004,"No","Karen Ray","REP",95
"645",190,"NC STATE HOUSE DISTRICT 96",1,2004,"No","Mark K. Hilton","REP",96
"646",191,"NC STATE HOUSE DISTRICT 97",2,2004,"Yes","Joe L. Kiser","REP",97
"647",192,"NC STATE HOUSE DISTRICT 97",2,2004,"Yes","Ken H. Fortenberry","DEM",97
"648",193,"NC STATE HOUSE DISTRICT 98",1,2004,"No","John W. Rhodes","REP",98
"649",194,"NC STATE HOUSE DISTRICT 99",1,2004,"No","Drew P. Saunders","DEM",99
"650",1,"NC STATE HOUSE DISTRICT 001",1,2006,"No","W. C. (Bill) Owens, Jr.","DEM",1
"651",2,"NC STATE HOUSE DISTRICT 002",2,2006,"Yes","Daniel M. Beall","REP",2
"652",3,"NC STATE HOUSE DISTRICT 002",2,2006,"Yes","Timothy L. (Tim) Spear","DEM",2
"653",4,"NC STATE HOUSE DISTRICT 003",2,2006,"Yes","Alice Graham Underhill","DEM",3
"654",5,"NC STATE HOUSE DISTRICT 003",2,2006,"Yes","Michael Speciale","REP",3
"655",6,"NC STATE HOUSE DISTRICT 004",2,2006,"Yes","Russell E. Tucker","DEM",4
"656",7,"NC STATE HOUSE DISTRICT 004",2,2006,"Yes","Richard J. Kaiser","REP",4
"657",8,"NC STATE HOUSE DISTRICT 005",2,2006,"Yes","Kyle Jones","REP",5
"658",9,"NC STATE HOUSE DISTRICT 005",2,2006,"Yes","Howard Hunter, Jr.","DEM",5
"659",10,"NC STATE HOUSE DISTRICT 006",2,2006,"Yes","Arthur Williams","DEM",6
"660",11,"NC STATE HOUSE DISTRICT 006",2,2006,"Yes","Hood Richardson","REP",6
"661",12,"NC STATE HOUSE DISTRICT 007",1,2006,"No","Edward (Ed) Jones","DEM",7
"662",13,"NC STATE HOUSE DISTRICT 008",1,2006,"No","Edith D. Warren","DEM",8
"663",14,"NC STATE HOUSE DISTRICT 009",2,2006,"Yes","Tony P. Moore","REP",9
"664",15,"NC STATE HOUSE DISTRICT 009",2,2006,"Yes","Marian N. McLawhorn","DEM",9
"665",16,"NC STATE HOUSE DISTRICT 010",2,2006,"Yes","Willie Ray Starling","REP",10
"666",17,"NC STATE HOUSE DISTRICT 010",2,2006,"Yes","Van Braxton","DEM",10
"667",18,"NC STATE HOUSE DISTRICT 011",2,2006,"Yes","Louis M. Pate, Jr.","REP",11
"668",19,"NC STATE HOUSE DISTRICT 011",2,2006,"Yes","Ronnie Griffin","DEM",11
"669",20,"NC STATE HOUSE DISTRICT 012",2,2006,"Yes","William L. Wainwright","DEM",12
"670",21,"NC STATE HOUSE DISTRICT 012",2,2006,"Yes","John Percy Wetherington, Jr.","REP",12
"671",22,"NC STATE HOUSE DISTRICT 013",2,2006,"Yes","Patricia (Pat) McElraft","REP",13
"672",23,"NC STATE HOUSE DISTRICT 013",2,2006,"Yes","G. Malcolm Fulcher, Jr.","DEM",13
"673",24,"NC STATE HOUSE DISTRICT 014",2,2006,"Yes","Kever M. Clark","DEM",14
"674",25,"NC STATE HOUSE DISTRICT 014",2,2006,"Yes","George G. Cleveland","REP",14
"675",26,"NC STATE HOUSE DISTRICT 015",2,2006,"Yes","Robert Grady","REP",15
"676",27,"NC STATE HOUSE DISTRICT 015",2,2006,"Yes","Jean Hawley","DEM",15
"677",28,"NC STATE HOUSE DISTRICT 016",1,2006,"No","Carolyn Justice","REP",16
"678",29,"NC STATE HOUSE DISTRICT 017",2,2006,"Yes","Allan Dameron","DEM",17
"679",30,"NC STATE HOUSE DISTRICT 017",2,2006,"Yes","Bonner Stiller","REP",17
"680",31,"NC STATE HOUSE DISTRICT 018",2,2006,"Yes","Thomas E. Wright","DEM",18
"681",32,"NC STATE HOUSE DISTRICT 018",2,2006,"Yes","Frankie Roberts","REP",18
"682",33,"NC STATE HOUSE DISTRICT 019",1,2006,"No","Danny McComas","REP",19
"683",34,"NC STATE HOUSE DISTRICT 020",2,2006,"Yes","Dewey L. Hill","DEM",20
"684",35,"NC STATE HOUSE DISTRICT 020",2,2006,"Yes","R. C. (Ray) Gilbert","REP",20
"685",36,"NC STATE HOUSE DISTRICT 021",1,2006,"No","Larry M. Bell","DEM",21
"686",37,"NC STATE HOUSE DISTRICT 022",1,2006,"No","William Brisson","DEM",22
"687",38,"NC STATE HOUSE DISTRICT 023",2,2006,"Yes","Joe Tolson","DEM",23
"688",39,"NC STATE HOUSE DISTRICT 023",2,2006,"Yes","Henry Williams, II","REP",23
"689",40,"NC STATE HOUSE DISTRICT 024",1,2006,"No","Jean Farmer-Butterfield","DEM",24
"690",41,"NC STATE HOUSE DISTRICT 025",2,2006,"Yes","Bill Daughtridge","REP",25
"691",42,"NC STATE HOUSE DISTRICT 025",2,2006,"Yes","Carnell Taylor","DEM",25
"692",43,"NC STATE HOUSE DISTRICT 026",1,2006,"No","Leo Daughtry","REP",26
"693",44,"NC STATE HOUSE DISTRICT 027",1,2006,"No","Michael H. Wray","DEM",27
"694",45,"NC STATE HOUSE DISTRICT 028",1,2006,"No","James H. Langdon, Jr.","REP",28
"695",46,"NC STATE HOUSE DISTRICT 029",1,2006,"No","Larry D. Hall","DEM",29
"696",47,"NC STATE HOUSE DISTRICT 030",1,2006,"No","Paul Luebke","DEM",30
"697",48,"NC STATE HOUSE DISTRICT 031",1,2006,"No","H. M. (Mickey) Michaux","DEM",31
"698",49,"NC STATE HOUSE DISTRICT 032",1,2006,"No","Jim Crawford","DEM",32
"699",50,"NC STATE HOUSE DISTRICT 033",1,2006,"No","Bernard Allen","DEM",33
"700",51,"NC STATE HOUSE DISTRICT 034",2,2006,"Yes","Grier Martin","DEM",34
"701",52,"NC STATE HOUSE DISTRICT 034",2,2006,"Yes","J. H. Ross","REP",34
"702",53,"NC STATE HOUSE DISTRICT 035",1,2006,"No","Jennifer Weiss","DEM",35
"703",54,"NC STATE HOUSE DISTRICT 036",2,2006,"Yes","Greer Beaty","DEM",36
"704",55,"NC STATE HOUSE DISTRICT 036",2,2006,"Yes","Nelson Dollar","REP",36
"705",56,"NC STATE HOUSE DISTRICT 037",2,2006,"Yes","Ed Ridpath","DEM",37
"706",57,"NC STATE HOUSE DISTRICT 037",2,2006,"Yes","Paul Stam","REP",37
"707",58,"NC STATE HOUSE DISTRICT 038",1,2006,"No","Deborah K. Ross","DEM",38
"708",59,"NC STATE HOUSE DISTRICT 039",2,2006,"Yes","John W. Blackwell","REP",39
"709",60,"NC STATE HOUSE DISTRICT 039",2,2006,"Yes","Linda Coleman","DEM",39
"710",61,"NC STATE HOUSE DISTRICT 040",1,2006,"No","Marilyn Avila","REP",40
"711",62,"NC STATE HOUSE DISTRICT 041",2,2006,"Yes","Ty Harrell","DEM",41
"712",63,"NC STATE HOUSE DISTRICT 041",2,2006,"Yes","J. Russell Capps","REP",41
"713",64,"NC STATE HOUSE DISTRICT 042",1,2006,"No","Marvin W. Lucas","DEM",42
"714",65,"NC STATE HOUSE DISTRICT 043",1,2006,"No","Mary E. McAllister","DEM",43
"715",66,"NC STATE HOUSE DISTRICT 044",1,2006,"No","Margaret Highsmith Dickson","DEM",44
"716",67,"NC STATE HOUSE DISTRICT 045",2,2006,"Yes","Rick Glazier","DEM",45
"717",68,"NC STATE HOUSE DISTRICT 045",2,2006,"Yes","Alex Warner","REP",45
"718",69,"NC STATE HOUSE DISTRICT 046",1,2006,"No","Douglas Y. Yongue","DEM",46
"719",70,"NC STATE HOUSE DISTRICT 047",1,2006,"No","Ronnie Sutton","DEM",47
"720",71,"NC STATE HOUSE DISTRICT 048",1,2006,"No","Garland E. Pierce","DEM",48
"721",72,"NC STATE HOUSE DISTRICT 049",2,2006,"Yes","Dave Harker","REP",49
"722",73,"NC STATE HOUSE DISTRICT 049",2,2006,"Yes","Lucy T. Allen","DEM",49
"723",74,"NC STATE HOUSE DISTRICT 050",1,2006,"No","Bill Faison","DEM",50
"724",75,"NC STATE HOUSE DISTRICT 051",2,2006,"Yes","Tim McNeill","REP",51
"725",76,"NC STATE HOUSE DISTRICT 051",2,2006,"Yes","Jimmy L. Love, Sr.","DEM",51
"726",77,"NC STATE HOUSE DISTRICT 052",3,2006,"Yes","Gerald L. Galloway","UNA",52
"727",78,"NC STATE HOUSE DISTRICT 052",3,2006,"Yes","Manila G. (Bud) Shaver","UNA",52
"728",79,"NC STATE HOUSE DISTRICT 052",3,2006,"Yes","Joe Boylan","REP",52
"729",80,"NC STATE HOUSE DISTRICT 053",2,2006,"Yes","Frank Stewart","DEM",53
"730",81,"NC STATE HOUSE DISTRICT 053",2,2006,"Yes","David Lewis","REP",53
"731",82,"NC STATE HOUSE DISTRICT 054",2,2006,"Yes","Alvin Reed","REP",54
"732",83,"NC STATE HOUSE DISTRICT 054",2,2006,"Yes","Joe Hackney","DEM",54
"733",84,"NC STATE HOUSE DISTRICT 055",1,2006,"No","W. A. (Winkie) Wilkins","DEM",55
"734",85,"NC STATE HOUSE DISTRICT 056",1,2006,"No","Verla C. Insko","DEM",56
"735",86,"NC STATE HOUSE DISTRICT 057",2,2006,"Yes","Ron Styers","REP",57
"736",87,"NC STATE HOUSE DISTRICT 057",2,2006,"Yes","Mary Price (Pricey) Harrison","DEM",57
"737",88,"NC STATE HOUSE DISTRICT 058",2,2006,"Yes","Olga Morgan Wright","REP",58
"738",89,"NC STATE HOUSE DISTRICT 058",2,2006,"Yes","Alma Adams","DEM",58
"739",90,"NC STATE HOUSE DISTRICT 059",2,2006,"Yes","Jim Rumley","REP",59
"740",91,"NC STATE HOUSE DISTRICT 059",2,2006,"Yes","Maggie Jeffus","DEM",59
"741",92,"NC STATE HOUSE DISTRICT 060",2,2006,"Yes","Bill Wright","REP",60
"742",93,"NC STATE HOUSE DISTRICT 060",2,2006,"Yes","Earl Jones","DEM",60
"743",94,"NC STATE HOUSE DISTRICT 061",1,2006,"No","Laura Wiley","REP",61
"744",95,"NC STATE HOUSE DISTRICT 062",1,2006,"No","John M. Blust","REP",62
"745",96,"NC STATE HOUSE DISTRICT 063",1,2006,"No","Alice Bordsen","DEM",63
"746",97,"NC STATE HOUSE DISTRICT 064",1,2006,"No","Cary D. Allred","REP",64
"747",98,"NC STATE HOUSE DISTRICT 065",2,2006,"Yes","Michael Moore","REP",65
"748",99,"NC STATE HOUSE DISTRICT 065",2,2006,"Yes","Nelson Cole","DEM",65
"749",100,"NC STATE HOUSE DISTRICT 066",2,2006,"Yes","David Browder","REP",66
"750",101,"NC STATE HOUSE DISTRICT 066",2,2006,"Yes","Melanie Wade Goodwin","DEM",66
"751",102,"NC STATE HOUSE DISTRICT 067",1,2006,"No","David Almond","REP",67
"752",103,"NC STATE HOUSE DISTRICT 068",1,2006,"No","Curtis Blackwood","REP",68
"753",104,"NC STATE HOUSE DISTRICT 069",2,2006,"Yes","Jim H. Bention, Sr.","REP",69
"754",105,"NC STATE HOUSE DISTRICT 069",2,2006,"Yes","Pryor Gibson","DEM",69
"755",106,"NC STATE HOUSE DISTRICT 070",2,2006,"Yes","Pat B. Hurley","REP",70
"756",107,"NC STATE HOUSE DISTRICT 070",2,2006,"Yes","Hampton (Happy) Spivey","DEM",70
"757",108,"NC STATE HOUSE DISTRICT 071",1,2006,"No","Larry Womble","DEM",71
"758",109,"NC STATE HOUSE DISTRICT 072",1,2006,"No","Earline W. Parmon","DEM",72
"759",110,"NC STATE HOUSE DISTRICT 073",1,2006,"No","Larry R. Brown","REP",73
"760",111,"NC STATE HOUSE DISTRICT 074",1,2006,"No","Dale Robbins Folwell","REP",74
"761",112,"NC STATE HOUSE DISTRICT 075",1,2006,"No","William C. (Bill) McGee","REP",75
"762",113,"NC STATE HOUSE DISTRICT 076",1,2006,"No","Fred F. Steen, II","REP",76
"763",114,"NC STATE HOUSE DISTRICT 077",2,2006,"Yes","Susan Morris","REP",77
"764",115,"NC STATE HOUSE DISTRICT 077",2,2006,"Yes","Lorene T. Coates","DEM",77
"765",116,"NC STATE HOUSE DISTRICT 078",1,2006,"No","Harold J. Brubaker","REP",78
"766",117,"NC STATE HOUSE DISTRICT 079",1,2006,"No","Julia Craven Howard","REP",79
"767",118,"NC STATE HOUSE DISTRICT 080",1,2006,"No","Jerry C. Dockham","REP",80
"768",119,"NC STATE HOUSE DISTRICT 081",1,2006,"No","L. Hugh Holliman","DEM",81
"769",120,"NC STATE HOUSE DISTRICT 082",1,2006,"No","Jeff Barnhart","REP",82
"770",121,"NC STATE HOUSE DISTRICT 083",1,2006,"No","Linda P. Johnson","REP",83
"771",122,"NC STATE HOUSE DISTRICT 084",1,2006,"No","Phillip Frye","REP",84
"772",123,"NC STATE HOUSE DISTRICT 085",2,2006,"Yes","Mitch Gillespie","REP",85
"773",124,"NC STATE HOUSE DISTRICT 085",2,2006,"Yes","Chuck Aldridge","DEM",85
"774",125,"NC STATE HOUSE DISTRICT 086",2,2006,"Yes","Walt Church","DEM",86
"775",126,"NC STATE HOUSE DISTRICT 086",2,2006,"Yes","Hugh Blackwell","REP",86
"776",127,"NC STATE HOUSE DISTRICT 087",1,2006,"No","Edgar V. Starnes","REP",87
"777",128,"NC STATE HOUSE DISTRICT 088",2,2006,"Yes","Ray Warren","DEM",88
"778",129,"NC STATE HOUSE DISTRICT 088",2,2006,"Yes","Mark W. Hollo","REP",88
"779",130,"NC STATE HOUSE DISTRICT 089",1,2006,"No","Mitchell Smith Setzer","REP",89
"780",131,"NC STATE HOUSE DISTRICT 090",2,2006,"Yes","James Harrell","DEM",90
"781",132,"NC STATE HOUSE DISTRICT 090",2,2006,"Yes","Jack Conaway","REP",90
"782",133,"NC STATE HOUSE DISTRICT 091",2,2006,"Yes","Bryan Holloway","REP",91
"783",134,"NC STATE HOUSE DISTRICT 091",2,2006,"Yes","Ed Gambill","DEM",91
"784",135,"NC STATE HOUSE DISTRICT 092",1,2006,"No","George Holmes","REP",92
"785",136,"NC STATE HOUSE DISTRICT 093",2,2006,"Yes","Cullie Tarleton","DEM",93
"786",137,"NC STATE HOUSE DISTRICT 093",2,2006,"Yes","Gene Wilson","REP",93
"787",138,"NC STATE HOUSE DISTRICT 094",2,2006,"Yes","Judith Barlow Porter","DEM",94
"788",139,"NC STATE HOUSE DISTRICT 094",2,2006,"Yes","R. Tracy Walker","REP",94
"789",140,"NC STATE HOUSE DISTRICT 095",1,2006,"No","Karen Ray","REP",95
"790",141,"NC STATE HOUSE DISTRICT 096",1,2006,"No","Mark K. Hilton","REP",96
"791",142,"NC STATE HOUSE DISTRICT 097",1,2006,"No","Joe L. Kiser","REP",97
"792",143,"NC STATE HOUSE DISTRICT 098",1,2006,"No","Thom Tillis","REP",98
"793",144,"NC STATE HOUSE DISTRICT 099",1,2006,"No","Drew P. Saunders","DEM",99
"794",145,"NC STATE HOUSE DISTRICT 100",2,2006,"Yes","James B. (Jim) Black","DEM",100
"795",146,"NC STATE HOUSE DISTRICT 100",2,2006,"Yes","Hal Jordan","REP",100
"796",147,"NC STATE HOUSE DISTRICT 101",1,2006,"No","Beverly Miller Earle","DEM",101
"797",148,"NC STATE HOUSE DISTRICT 102",1,2006,"No","Becky Carney","DEM",102
"798",149,"NC STATE HOUSE DISTRICT 103",2,2006,"Yes","Everette A. Passaly","DEM",103
"799",150,"NC STATE HOUSE DISTRICT 103",2,2006,"Yes","Jim Gulley","REP",103
"800",151,"NC STATE HOUSE DISTRICT 104",2,2006,"Yes","Ruth Samuelson","REP",104
"801",152,"NC STATE HOUSE DISTRICT 104",2,2006,"Yes","Paula McSwain","DEM",104
"802",153,"NC STATE HOUSE DISTRICT 105",1,2006,"No","Ric Killian","REP",105
"803",154,"NC STATE HOUSE DISTRICT 106",1,2006,"No","Martha Alexander","DEM",106
"804",155,"NC STATE HOUSE DISTRICT 107",1,2006,"No","W. Pete Cunningham","DEM",107
"805",156,"NC STATE HOUSE DISTRICT 108",2,2006,"Yes","Marvin E. (Eddie) Wyatt, Jr.","DEM",108
"806",157,"NC STATE HOUSE DISTRICT 108",2,2006,"Yes","Wil Neumann","REP",108
"807",158,"NC STATE HOUSE DISTRICT 109",1,2006,"No","William A. Current","REP",109
"808",159,"NC STATE HOUSE DISTRICT 110",2,2006,"Yes","Debbie Ann Clary","REP",110
"809",160,"NC STATE HOUSE DISTRICT 110",2,2006,"Yes","Jim Long","DEM",110
"810",161,"NC STATE HOUSE DISTRICT 111",2,2006,"Yes","Tim Moore","REP",111
"811",162,"NC STATE HOUSE DISTRICT 111",2,2006,"Yes","Betsy H. Fonvielle","DEM",111
"812",163,"NC STATE HOUSE DISTRICT 112",2,2006,"Yes","Bob England","DEM",112
"813",164,"NC STATE HOUSE DISTRICT 112",2,2006,"Yes","David L. Reno","REP",112
"814",165,"NC STATE HOUSE DISTRICT 113",1,2006,"No","Trudi Walend","REP",113
"815",166,"NC STATE HOUSE DISTRICT 114",2,2006,"Yes","Susan C. Fisher","DEM",114
"816",167,"NC STATE HOUSE DISTRICT 114",2,2006,"Yes","Mike Harrison","REP",114
"817",168,"NC STATE HOUSE DISTRICT 115",2,2006,"Yes","D. Bruce Goforth","DEM",115
"818",169,"NC STATE HOUSE DISTRICT 115",2,2006,"Yes","Eric Gorny","REP",115
"819",170,"NC STATE HOUSE DISTRICT 116",2,2006,"Yes","Doug Jones","DEM",116
"820",171,"NC STATE HOUSE DISTRICT 116",2,2006,"Yes","Charles C. Thomas","REP",116
"821",172,"NC STATE HOUSE DISTRICT 117",2,2006,"Yes","Carolyn K. Justus","REP",117
"822",173,"NC STATE HOUSE DISTRICT 117",2,2006,"Yes","Gordon Hoots","DEM",117
"823",174,"NC STATE HOUSE DISTRICT 118",2,2006,"Yes","Ray Rapp","DEM",118
"824",175,"NC STATE HOUSE DISTRICT 118",2,2006,"Yes","Chris Gowan","REP",118
"825",176,"NC STATE HOUSE DISTRICT 119",2,2006,"Yes","Marge Carpenter","REP",119
"826",177,"NC STATE HOUSE DISTRICT 119",2,2006,"Yes","Phil Haire","DEM",119
"827",178,"NC STATE HOUSE DISTRICT 120",1,2006,"No","Roger West","REP",120
"828",1,"NC HOUSE OF REPRESENTATIVES DISTRICT 1",1,2008,"No","W. C. (Bill) Owens, Jr.","DEM",1
"829",2,"NC HOUSE OF REPRESENTATIVES DISTRICT 10",2,2008,"Yes","Stephen LaRoque","REP",10
"830",3,"NC HOUSE OF REPRESENTATIVES DISTRICT 10",2,2008,"Yes","Van Braxton","DEM",10
"831",4,"NC HOUSE OF REPRESENTATIVES DISTRICT 100",2,2008,"Yes","Tom White","REP",100
"832",5,"NC HOUSE OF REPRESENTATIVES DISTRICT 100",2,2008,"Yes","Tricia Cotham","DEM",100
"833",6,"NC HOUSE OF REPRESENTATIVES DISTRICT 101",2,2008,"Yes","Beverly Miller Earle","DEM",101
"834",7,"NC HOUSE OF REPRESENTATIVES DISTRICT 101",2,2008,"Yes","Beth Marlin","REP",101
"835",8,"NC HOUSE OF REPRESENTATIVES DISTRICT 102",2,2008,"Yes","Becky Carney","DEM",102
"836",9,"NC HOUSE OF REPRESENTATIVES DISTRICT 102",2,2008,"Yes","Gregory Patrick Hill","REP",102
"837",10,"NC HOUSE OF REPRESENTATIVES DISTRICT 103",2,2008,"Yes","Jim Gulley","REP",103
"838",11,"NC HOUSE OF REPRESENTATIVES DISTRICT 103",2,2008,"Yes","Mark Brody","",103
"839",12,"NC HOUSE OF REPRESENTATIVES DISTRICT 104",1,2008,"No","Ruth Samuelson","REP",104
"840",13,"NC HOUSE OF REPRESENTATIVES DISTRICT 105",1,2008,"No","Ric Killian","REP",105
"841",14,"NC HOUSE OF REPRESENTATIVES DISTRICT 106",1,2008,"No","Martha Alexander","DEM",106
"842",15,"NC HOUSE OF REPRESENTATIVES DISTRICT 107",2,2008,"Yes","Gary Hardee","REP",107
"843",16,"NC HOUSE OF REPRESENTATIVES DISTRICT 107",2,2008,"Yes","Kelly Alexander","DEM",107
"844",17,"NC HOUSE OF REPRESENTATIVES DISTRICT 108",3,2008,"Yes","Wil Neumann","REP",108
"845",18,"NC HOUSE OF REPRESENTATIVES DISTRICT 108",3,2008,"Yes","Marvin (Eddie) Wyatt","DEM",108
"846",19,"NC HOUSE OF REPRESENTATIVES DISTRICT 108",3,2008,"Yes","Keith Calvelli","LIB",108
"847",20,"NC HOUSE OF REPRESENTATIVES DISTRICT 109",2,2008,"Yes","William A. Current, Sr.","REP",109
"848",21,"NC HOUSE OF REPRESENTATIVES DISTRICT 109",2,2008,"Yes","Shirley Wiggins","DEM",109
"849",22,"NC HOUSE OF REPRESENTATIVES DISTRICT 11",2,2008,"Yes","Ronnie Griffin","DEM",11
"850",23,"NC HOUSE OF REPRESENTATIVES DISTRICT 11",2,2008,"Yes","Efton M. Sager","REP",11
"851",24,"NC HOUSE OF REPRESENTATIVES DISTRICT 110",2,2008,"Yes","Davy Lowman","DEM",110
"852",25,"NC HOUSE OF REPRESENTATIVES DISTRICT 110",2,2008,"Yes","Pearl Burris Floyd","REP",110
"853",26,"NC HOUSE OF REPRESENTATIVES DISTRICT 111",1,2008,"No","Tim Moore","REP",111
"854",27,"NC HOUSE OF REPRESENTATIVES DISTRICT 112",1,2008,"No","Bob England","DEM",112
"855",28,"NC HOUSE OF REPRESENTATIVES DISTRICT 113",2,2008,"Yes","W. David Guice","REP",113
"856",29,"NC HOUSE OF REPRESENTATIVES DISTRICT 113",2,2008,"Yes","Tom Thomas","DEM",113
"857",30,"NC HOUSE OF REPRESENTATIVES DISTRICT 114",1,2008,"No","Susan C. Fisher","DEM",114
"858",31,"NC HOUSE OF REPRESENTATIVES DISTRICT 115",2,2008,"Yes","Paul Purdue","REP",115
"859",32,"NC HOUSE OF REPRESENTATIVES DISTRICT 115",2,2008,"Yes","D. Bruce Goforth","DEM",115
"860",33,"NC HOUSE OF REPRESENTATIVES DISTRICT 116",2,2008,"Yes","Tim Moffitt","REP",116
"861",34,"NC HOUSE OF REPRESENTATIVES DISTRICT 116",2,2008,"Yes","Jane Whilden","DEM",116
"862",35,"NC HOUSE OF REPRESENTATIVES DISTRICT 117",2,2008,"Yes","Carolyn K. Justus","REP",117
"863",36,"NC HOUSE OF REPRESENTATIVES DISTRICT 117",2,2008,"Yes","Paul D. Goebel","DEM",117
"864",37,"NC HOUSE OF REPRESENTATIVES DISTRICT 118",1,2008,"No","Ray Rapp","DEM",118
"865",38,"NC HOUSE OF REPRESENTATIVES DISTRICT 119",2,2008,"Yes","Phil Haire","DEM",119
"866",39,"NC HOUSE OF REPRESENTATIVES DISTRICT 119",2,2008,"Yes","Dodie Allen","REP",119
"867",40,"NC HOUSE OF REPRESENTATIVES DISTRICT 12",2,2008,"Yes","Mark W. Griffin","REP",12
"868",41,"NC HOUSE OF REPRESENTATIVES DISTRICT 12",2,2008,"Yes","William L. Wainwright","DEM",12
"869",42,"NC HOUSE OF REPRESENTATIVES DISTRICT 120",1,2008,"No","Roger West","REP",120
"870",43,"NC HOUSE OF REPRESENTATIVES DISTRICT 13",2,2008,"Yes","Patricia (Pat) McElraft","REP",13
"871",44,"NC HOUSE OF REPRESENTATIVES DISTRICT 13",2,2008,"Yes","Barbara Garrity-Blake","DEM",13
"872",45,"NC HOUSE OF REPRESENTATIVES DISTRICT 14",1,2008,"No","George G. Cleveland","REP",14
"873",46,"NC HOUSE OF REPRESENTATIVES DISTRICT 15",1,2008,"No","Robert Grady","REP",15
"874",47,"NC HOUSE OF REPRESENTATIVES DISTRICT 16",1,2008,"No","Carolyn Justice","REP",16
"875",48,"NC HOUSE OF REPRESENTATIVES DISTRICT 17",2,2008,"Yes","Bonner Stiller","REP",17
"876",49,"NC HOUSE OF REPRESENTATIVES DISTRICT 17",2,2008,"Yes","Vernon Ward","DEM",17
"877",50,"NC HOUSE OF REPRESENTATIVES DISTRICT 18",2,2008,"Yes","George J. Swart","REP",18
"878",51,"NC HOUSE OF REPRESENTATIVES DISTRICT 18",2,2008,"Yes","Sandra Spaulding Hughes","DEM",18
"879",52,"NC HOUSE OF REPRESENTATIVES DISTRICT 19",1,2008,"No","Danny McComas","REP",19
"880",53,"NC HOUSE OF REPRESENTATIVES DISTRICT 2",3,2008,"Yes","Jesse Mignogna","LIB",2
"881",54,"NC HOUSE OF REPRESENTATIVES DISTRICT 2",3,2008,"Yes","Chris East","REP",2
"882",55,"NC HOUSE OF REPRESENTATIVES DISTRICT 2",3,2008,"Yes","Timothy L. (Tim) Spear","DEM",2
"883",56,"NC HOUSE OF REPRESENTATIVES DISTRICT 20",1,2008,"No","Dewey L. Hill","DEM",20
